data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8654142,170,COL9257,9257,"18 November 2021",2021,1,Riots,"Violent demonstration","Rioters (Colombia)","Women (Colombia)",5,55,"South America",Colombia,"Bogota, D.C.","Bogota, D.C.",,"Bogota - La Candelaria",4.5931,-74.0712,1,"El Espectador; AFP",National-International,"On 18 November 2021, in Bogota - La Candelaria (Bogota, D.C.), a hundred demonstrators, mostly women, clashed during pro-abortion and anti-abortion rallies held in the city center. Insults and tussles were reported between the two groups. Citizens gathered in the area as the Constitutional Court analyzed the decriminalization of this practice in the country. [size=a hundred]",0,1637619474,COL
8654142,170,COL9257,9257,"18 November 2021",2021,1,Riots,"Violent demonstration","Rioters (Colombia)","Women (Colombia)",5,55,"South America",Colombia,"Bogota, D.C.","Bogota, D.C.",,"Bogota - La Candelaria",4.5931,-74.0712,1,"El Espectador; AFP",National-International,"On 18 November 2021, in Bogota - La Candelaria (Bogota, D.C.), a hundred demonstrators, mostly women, clashed during pro-abortion and anti-abortion rallies held in the city center. Insults and tussles were reported between the two groups. Citizens gathered in the area as the Constitutional Court analyzed the decriminalization of this practice in the country. [size=a hundred]",0,1637619474,COL
8654304,170,COL9262,9262,"18 November 2021",2021,2,Protests,"Peaceful protest","Protesters (Colombia)","Women (Colombia); Refugees/IDPs (Colombia); Teachers (Colombia)",6,60,"South America",Colombia,Sucre,"San Onofre",,"San Onofre",9.741,-75.5202,1,"El Universal (Colombia)",National,"Around 18 November 2021, in San Onofre (Sucre), women protested against gender-based violence. The group marched through the town to demand justice for the victims of femicide. The protest was supported by local teachers organizations and groups of victims and IDPs of armed conflict. [size=no report]",0,1637619474,COL
8654295,170,COL9240,9240,"17 November 2021",2021,2,Protests,"Peaceful protest","Protesters (Colombia)","Government of Colombia (2018-); CR: Radical Change",6,60,"South America",Colombia,Magdalena,"Santa Marta",,"Santa Marta",11.2294,-74.1909,1,"El Tiempo (Colombia)",National,"Around 17 November 2021, in Santa Marta (Magdalena), five deputies, among them a member of the CR party, chained themselves to the municipal building to demand respect for the autonomy of the institution and compliance with internal regulations when convening debates. According to the protesters, the deputies of the opposition party, who have the majority in the chamber, are carrying out irregular actions to pass bills. [size=5]",0,1637619474,COL
8654299,170,COL9274,9274,"17 November 2021",2021,2,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,"Valle del Cauca",Cali,,"Santiago de Cali",3.4376,-76.519,1,"El Tiempo (Colombia)",National,"Around 17 November 2021, in Santiago de Cali (Valle del Cauca), relatives and other citizens protested to demand information about the whereabouts of the people reported missing during the political unrest that broke out in the capital of Valle del Cauca since April 28. [size=no report]",0,1637619474,COL
8654303,170,COL9242,9242,"17 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)","Labour Group (Colombia)",6,60,"South America",Colombia,Bolivar,"Cartagena de Indias",,Cartagena,10.3917,-75.4824,1,"El Universal (Colombia)",National,"On 17 November 2021, in Cartagena (Bolivar), former employees of the public utility company protested against delays in the transfer of the company to the new owners. The employees alleged that the company's former shareholders continue to benefit from the company, as the legal procedure for the change of ownership has not yet been finalized. The group blocked traffic for several hours. [size=no report]",0,1637619474,COL
8654305,170,COL9247,9247,"17 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)","Students (Colombia); Teachers (Colombia)",6,60,"South America",Colombia,Bolivar,"Cartagena de Indias",,Cartagena,10.3917,-75.4824,1,"El Universal (Colombia)",National,"On 17 November 2021, in Cartagena (Bolivar), students, their parents, and teachers protested at a local school against the poor conditions of the facilities. The group gathered to demand improvements to the building. [size=no report]",0,1637619474,COL
8654247,170,COL9272,9272,"16 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,Atlantico,Barranquilla,,Barranquilla,10.9799,-74.8013,1,"Diario La Libertad",Subnational,"On 16 November 2021, in Barranquilla (Atlantico), citizens protested against the high prices of public transportation for traveling to nearby locations. The group blocked traffic near Calle 30 for several hours. [size=no report]",0,1637619474,COL
8654274,170,COL9273,9273,"16 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,"Bogota, D.C.","Bogota, D.C.",,"Bogota - La Candelaria",4.5931,-74.0712,1,"El Espectador",National,"On 16 November 2021, in Bogota - La Candelaria (Bogota, D.C.), a hundred of anti-vaccination protesters rallied to demand an end to the restrictions introduced amid the coronavirus pandemic. They protested against the need to present a vaccination card for entrance into several businesses. [size=a hundred]",0,1637619474,COL
8654298,170,COL9241,9241,"16 November 2021",2021,2,Protests,"Peaceful protest","Protesters (Colombia)","Labour Group (Colombia)",6,60,"South America",Colombia,"La Guajira",Riohacha,,Riohacha,11.5288,-72.9115,1,"El Tiempo (Colombia)",National,"Around 16 November 2021, in Riohacha (La Guajira), about 30 dump truck drivers protested against the exclusion of local labor for the construction of a penitentiary building in the city. The group gathered near the project and denounced that the contractors brought in drivers from other regions and that the builders used illegal material for the building's development. [size=about 30]",0,1637619474,COL
8686210,170,COL9426,9426,"16 November 2021",2021,1,Riots,"Violent demonstration","Rioters (Colombia)",,5,50,"South America",Colombia,Antioquia,Rionegro,,Rionegro,6.1472,-75.3768,1,"El Colombiano",Subnational,"On 16 November 2021, in Rionegro (Antioquia), people demonstrated against the implementation of a new bus system in the municipality. Demonstrators said that communication about the changes has been unclear and hindered mobility in the municipality. The demonstration turned violent as some rioters started destroying the buses and bus stops. [size=no report]",0,1639426151,COL
8654286,170,COL9271,9271,"15 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,Tolima,Ibague,,Ibague,4.4396,-75.1937,1,"El Nuevo Dia (Colombia)",National,"On 15 November 2021, in Ibague (Tolima), residents of the Picanela neighborhood protested against increasing failures in the supply of public services such as water and electricity. The group blocked a nearby street for several hours to demand service improvements. [size=no report]",0,1637619474,COL
8654297,170,COL9269,9269,"15 November 2021",2021,2,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,Meta,"Vista Hermosa",,Vistahermosa,3.1258,-73.7512,2,"El Tiempo (Colombia)",National,"Around 15 November 2021, in the rural area of Vistahermosa (Meta), residents protested against the killing of a young resident in a suspected case of police brutality on 14 November. People gathered near the police station in the La Cooperativa vereda to demand justice for the victim. [size=no report]",0,1637619474,COL
8654522,170,COL9270,9270,"15 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,Santander,Curiti,,Curiti,6.6067,-73.0692,1,"Vanguardia Liberal",Subnational,"On 15 November 2021, in Curiti (Santander), young people from rural localities gathered to protest against the privatization of the water and sewage company. Moreover, protesters raised concerns over the lack of public policy in the municipality to protect the environment. [size=no report]",0,1637619475,COL
8654250,170,COL9266,9266,"14 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,Antioquia,"La Union",,"La Union",5.9739,-75.3609,1,"El Colombiano",Subnational,"On 14 November 2021, in La Union (Antioquia), citizens protested near the police station to demand an investigation into the death of a person detained inside the police station during a fire. Authorities claimed that the victim set fire to furniture, which caused the fire and his subsequent death, but the victim's relatives question this version of events. [size=no report]",0,1637619474,COL
8654524,170,COL9268,9268,"14 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,Santander,Bucaramanga,,Bucaramanga,7.1163,-73.1326,1,"Vanguardia Liberal",Subnational,"On 14 November 2021, in Bucaramanga (Santander), citizens protested against the development of mining projects in natural reserve areas of the department. Protesters organized a motorcade across the city to demand from the government the protection of the environment. [size=no report]",0,1637619475,COL
8654140,170,COL9255,9255,"13 November 2021",2021,1,Riots,"Violent demonstration","Rioters (Colombia)",,5,15,"South America",Colombia,Santander,Bolivar,,Bolivar,5.9897,-73.7704,2,"Diario La Libertad; El Heraldo (Colombia); El Espectador",National,"On 13 November 2021, in the rural area of Bolivar municipality (Santander), ESMAD police forces and demonstrators clashed during a rally held by residents of the La Hermosura corregimiento. Demonstrators blocked access to a petroleum field for 50 days to demonstrate against the failure of the petroleum company to comply with some of the agreements reached with the community, which include environmental, work, social and goods, and services issues. Three people were arrested, three police officers were reported injured, and a demonstrator died five days after being hospitalized due to the impact of a tear gas canister in the head. 1 fatality. [size=no report]",1,1637619474,COL
8654140,170,COL9255,9255,"13 November 2021",2021,1,Riots,"Violent demonstration","Police Forces of Colombia (2018-) ESMAD: Mobile Anti-Disturbance Squadron",,1,15,"South America",Colombia,Santander,Bolivar,,Bolivar,5.9897,-73.7704,2,"Diario La Libertad; El Heraldo (Colombia); El Espectador",National,"On 13 November 2021, in the rural area of Bolivar municipality (Santander), ESMAD police forces and demonstrators clashed during a rally held by residents of the La Hermosura corregimiento. Demonstrators blocked access to a petroleum field for 50 days to demonstrate against the failure of the petroleum company to comply with some of the agreements reached with the community, which include environmental, work, social and goods, and services issues. Three people were arrested, three police officers were reported injured, and a demonstrator died five days after being hospitalized due to the impact of a tear gas canister in the head. 1 fatality. [size=no report]",1,1637619474,COL
8643698,170,COL9236,9236,"11 November 2021",2021,2,Protests,"Peaceful protest","Protesters (Colombia)","Labour Group (Colombia)",6,60,"South America",Colombia,"Bogota, D.C.","Bogota, D.C.",,"Bogota - La Candelaria",4.5931,-74.0712,1,"El Espectador",National,"Around 11 November 2021, in Bogota - La Candelaria (Bogota, D.C.), firefighters protested to demand improvements in their working conditions. The group gathered near the Ministry of Interior building to demand better infrastructure and equipment to perform their jobs. [size=no report]",0,1637003176,COL
