event_date,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,admin1,admin2,admin3,location,source_scale,notes,fatalities
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Buga,,Guadalajara de Buga,National,"On 31 May 2021, in Guadalajara de Buga municipality (Valle del Cauca), peaceful protesters rallied on the road that connects the municipal seat with the city of Santiago de Cali during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Protesters blocked the road for several days. Following negotiations with security forces, the group allowed the traffic of vehicles. [size=no reports]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,"Bogota, D.C.","Bogota, D.C.",,Bogota - Usme,National,"On 31 May 2021, in Bogota - Usme (Bogota, D.C.), approximately 50 peaceful protesters rallied near the Puente Dignidad during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=approximately 50]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,"Bogota, D.C.","Bogota, D.C.",,Bogota - Ciudad Bolivar,National,"On 31 May 2021, in Bogota - Ciudad Bolivar (Bogota, D.C.), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee; Misak Indigenous Group (Colombia),6,,,0,60,"Bogota, D.C.","Bogota, D.C.",,Bogota - Kennedy,National,"On 31 May 2021, in Bogota - Kennedy (Bogota, D.C.), nearly 800 peaceful protesters, including Misak indigenous people, rallied near the Portal Americas during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=nearly 800]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,"Bogota, D.C.","Bogota, D.C.",,Bogota - Suba,National,"On 31 May 2021, in Bogota - Suba (Bogota, D.C.), between 20 to 100 peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=between 20 to 100]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,"Bogota, D.C.","Bogota, D.C.",,Bogota - Tunjuelito,National,"On 31 May 2021, in Bogota - Tunjuelito (Bogota, D.C.), between 10 to 20 peaceful protesters rallied near the Portal Molinos during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=between 10 to 20]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,"Bogota, D.C.","Bogota, D.C.",,Bogota - Engativa,National,"On 31 May 2021, in Bogota - Engativa (Bogota, D.C.), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Cundinamarca,Soacha,,Soacha,National,"On 31 May 2021, in Soacha (Cundinamarca), approximately 100 peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=approximately 100]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,"Bogota, D.C.","Bogota, D.C.",,Bogota - Fontibon,National,"On 31 May 2021, in Bogota - Fontibon (Bogota, D.C.), 80 peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=80]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,"Bogota, D.C.","Bogota, D.C.",,Bogota - Rafael Uribe Uribe,National,"On 31 May 2021, in Bogota - Rafael Uribe Uribe (Bogota, D.C.), about 50 peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=about 50]",0
